go_id	external_gene_name
908	GO:0019901	prkag1
909	GO:0016208	prkag1
910	GO:0019887	prkag1
911	GO:0042149	prkag1
912	GO:0031588	prkag1
913	GO:0071900	prkag1
914	GO:0032559	prkag1
915	GO:0050790	prkag1
916	GO:0003674	haus5
917	GO:0005813	haus5
918	GO:0051225	haus5
919	GO:0007098	haus5
920	GO:0070652	haus5
921	GO:0034597	pip4p1a
922	GO:0046856	pip4p1a
923	GO:0006435	tars3
924	GO:0004829	tars3
925	GO:0005737	tars3
926	GO:0005524	tars3
927	GO:0000166	tars3
928	GO:0006418	tars3
929	GO:0004812	tars3
932	GO:0016592	med6
933	GO:0003712	med6
934	GO:0006357	med6
936	GO:0007165	si:ch211-247j9.1
937	GO:0006139	ak9
938	GO:0019205	ak9
939	GO:0005524	ak9
943	GO:0008150	C7H19orf12
944	GO:0031966	C7H19orf12
945	GO:0003674	C7H19orf12
946	GO:0022008	nav2a
947	GO:0005515	nav2a
950	GO:0043565	si:dkey-18a10.3
951	GO:0003700	si:dkey-18a10.3
952	GO:0006355	si:dkey-18a10.3
954	GO:0005829	si:dkey-13m1.2
955	GO:0043235	si:dkey-13m1.2
956	GO:0009897	si:dkey-13m1.2
957	GO:0017046	si:dkey-13m1.2
958	GO:0019838	si:dkey-13m1.2
959	GO:0004896	si:dkey-13m1.2
960	GO:0019221	si:dkey-13m1.2
961	GO:0019955	si:dkey-13m1.2
962	GO:0050731	si:dkey-13m1.2
963	GO:0004903	si:dkey-13m1.2
964	GO:0046427	si:dkey-13m1.2
965	GO:0060396	si:dkey-13m1.2
966	GO:0070195	si:dkey-13m1.2
967	GO:0005515	si:dkey-13m1.2
970	GO:0016020	acvr1bb
971	GO:0004672	acvr1bb
972	GO:0004674	acvr1bb
973	GO:0005524	acvr1bb
974	GO:0006468	acvr1bb
975	GO:0000166	acvr1bb
976	GO:0043235	acvr1bb
977	GO:0005886	acvr1bb
978	GO:0004675	acvr1bb
979	GO:0048185	acvr1bb
980	GO:0007178	acvr1bb
981	GO:0032924	acvr1bb
982	GO:0071363	acvr1bb
983	GO:0048179	acvr1bb
984	GO:0007399	acvr1bb
985	GO:0016361	acvr1bb
987	GO:0003676	si:dkey-189g17.2
988	GO:0003723	si:dkey-189g17.2
990	GO:0004930	gpr101
991	GO:0016021	gpr101
992	GO:0007186	gpr101
993	GO:0005634	chchd10
994	GO:0005739	chchd10
995	GO:0007409	chchd10
996	GO:0007005	chchd10
997	GO:0014866	chchd10
999	GO:0030097	klf17
1000	GO:0000978	klf17
1001	GO:0006357	klf17
1002	GO:0000981	klf17
1003	GO:0003677	klf17
1004	GO:0005634	klf17
1005	GO:0030099	klf17
1006	GO:0030218	klf17
1007	GO:0045893	klf17
1008	GO:0035188	klf17
1009	GO:0048785	klf17
1010	GO:0010629	klf17
1013	GO:0005634	sinup
1014	GO:0003674	sinup
1015	GO:0001840	sinup
1016	GO:0016020	gfra2b
1017	GO:0043235	gfra2b
1018	GO:0009897	gfra2b
1019	GO:0038023	gfra2b
1020	GO:0007399	gfra2b
1021	GO:0016787	acp5b
1022	GO:0005575	acp5b
1023	GO:0046872	acp5b
1024	GO:0003993	acp5b
