SYMBOL	PATH
1234	ALDH7A1	00380
1235	ALDH7A1	00410
1236	ALDH7A1	00561
1237	ALDH7A1	00620
1238	ALDH7A1	00640
1239	ALDH7A1	01100
1241	ATP5F1B	00190
1242	ATP5F1B	01100
1243	ATP5F1B	05010
1244	ATP5F1B	05012
1245	ATP5F1B	05016
1247	ATP5F1C	00190
1248	ATP5F1C	01100
1249	ATP5F1C	05010
1250	ATP5F1C	05012
1251	ATP5F1C	05016
1252	ATP5F1D	00190
1253	ATP5F1D	01100
1254	ATP5F1D	05010
1255	ATP5F1D	05012
1256	ATP5F1D	05016
1257	ATP5F1E	00190
1258	ATP5F1E	01100
1259	ATP5F1E	05010
1260	ATP5F1E	05012
1261	ATP5F1E	05016
1262	ATP5PB	00190
1263	ATP5PB	01100
1264	ATP5PB	05010
1265	ATP5PB	05012
1266	ATP5PB	05016
1267	ATP5MC1	00190
1268	ATP5MC1	01100
1269	ATP5MC1	05010
1270	ATP5MC1	05012
1271	ATP5MC1	05016
1272	ATP5MC2	00190
1273	ATP5MC2	01100
1274	ATP5MC2	05010
1275	ATP5MC2	05012
1276	ATP5MC2	05016
1277	ATP5MC3	00190
1278	ATP5MC3	01100
1279	ATP5MC3	05010
1280	ATP5MC3	05012
1281	ATP5MC3	05016
1283	ATP5ME	00190
1284	ATP5ME	01100
1285	ATP5PF	00190
1286	ATP5PF	01100
1287	ATP5PF	05010
1288	ATP5PF	05012
1289	ATP5PF	05016
1290	ATP6V1A	00190
1291	ATP6V1A	01100
1292	ATP6V1A	04145
1293	ATP6V1A	04966
1294	ATP6V1A	05110
1295	ATP6V1A	05120
1296	ATP6V1A	05323
1297	ATP6V1B1	00190
1298	ATP6V1B1	01100
1299	ATP6V1B1	04145
1300	ATP6V1B1	04966
1301	ATP6V1B1	05110
1302	ATP6V1B1	05120
1303	ATP6V1B1	05323
1304	ATP6V1B2	00190
1305	ATP6V1B2	01100
1306	ATP6V1B2	04145
1307	ATP6V1B2	04966
1308	ATP6V1B2	05110
1309	ATP6V1B2	05120
1310	ATP6V1B2	05323
1311	ATP6V0C	00190
1312	ATP6V0C	01100
1313	ATP6V0C	04142
1314	ATP6V0C	04145
1315	ATP6V0C	04966
1316	ATP6V0C	05110
1317	ATP6V0C	05120
1318	ATP6V0C	05323
1319	ATP6V1C1	00190
1320	ATP6V1C1	01100
1321	ATP6V1C1	04145
1322	ATP6V1C1	04966
1323	ATP6V1C1	05110
1324	ATP6V1C1	05120
1325	ATP6V1C1	05323
1326	ATP6V1E1	00190
1327	ATP6V1E1	01100
1328	ATP6V1E1	04145
1329	ATP6V1E1	04966
1330	ATP6V1E1	05110
1331	ATP6V1E1	05120
1332	ATP6V1E1	05323
1333	ATP6V0B	00190
1334	ATP6V0B	01100
1335	ATP6V0B	04142
1336	ATP6V0B	04145
1337	ATP6V0B	05110
1338	ATP6V0B	05120
1339	ATP6V0B	05323
1340	ATP6V1G2	00190
1341	ATP6V1G2	01100
1342	ATP6V1G2	04145
1343	ATP6V1G2	04966
1344	ATP6V1G2	05110
1345	ATP6V1G2	05120
1346	ATP6V1G2	05323
1347	ATP6V0A1	00190
1348	ATP6V0A1	01100
1349	ATP6V0A1	04142
1350	ATP6V0A1	04145
1351	ATP6V0A1	04966
1352	ATP6V0A1	05110
1353	ATP6V0A1	05120
1354	ATP6V0A1	05323
1355	ATP6AP1	00190
1356	ATP6AP1	01100
1357	ATP6AP1	04142
1358	ATP6AP1	04145
1359	ATP6AP1	05110
1360	ATP6AP1	05120
1361	ATP6AP1	05323
1363	ATP5PO	00190
1364	ATP5PO	01100
1365	ATP5PO	05010
1366	ATP5PO	05012
1367	ATP5PO	05016
1373	ATR	04110
1374	ATR	04115
1377	AUH	00280
1378	AUH	01100
1380	AVP	04962
1381	AVPR1A	04020
1382	AVPR1A	04080
1383	AVPR1A	04270
1384	AVPR1B	04020
1385	AVPR1B	04080
1386	AVPR1B	04270
1387	AVPR2	04080
1388	AVPR2	04962
1393	B2M	04612
1395	BAAT	00120
1396	BAAT	00430
1397	BAAT	01040
1398	BAAT	01100
1399	BAAT	04146
1400	BAAT	04976
1402	BAD	04012
1403	BAD	04210
1404	BAD	04370
1405	BAD	04510
1406	BAD	04722
1407	BAD	04910
1408	BAD	05010
1409	BAD	05014
1410	BAD	05145
1411	BAD	05160
1412	BAD	05200
1413	BAD	05210
1414	BAD	05212
1415	BAD	05213
1416	BAD	05215
1417	BAD	05218
1418	BAD	05220
1419	BAD	05221
1420	BAD	05223
1421	BAG1	04141
1423	ADGRB1	04115
1426	BAK1	04141
1429	BAX	04115
1430	BAX	04141
1431	BAX	04210
1432	BAX	04722
1433	BAX	05014
