SYMBOL	PATH
ptgs1	01100
ptgs2a	00590
ptgs2a	01100
myhz2	04530
pals1a	04530
thbs3a	04145
thbs3a	04350
thbs3a	04510
thbs3a	04512
thbs4b	04145
thbs4b	04350
thbs4b	04510
thbs4b	04512
hgd	00350
hgd	01100
caska	04530
rfc3	03030
rfc3	03420
rfc3	03430
p2rx4a	04020
p2rx4a	04080
reln	04510
reln	04512
msh6	03430
atp2a1	04020
mthfd1b	00670
mthfd1b	01100
id2a	04350
sec31a	04141
pak2a	04010
pak2a	04012
pak2a	04510
pak2a	04810
adra2a	04080
adra2b	04080
adra2c	04080
adra2da	04080
adra2db	04080
mapk14b	04010
mapk14b	04370
mapk14b	04620
mapk14b	04621
mapk14b	04622
mapk14b	04912
mapk14b	04914
tram1	04141
ccng2	04115
sec61a1l	03060
sec61a1l	04141
sec61a1l	04145
stt3a	00510
stt3a	01100
stt3a	04141
ap3m1	04142
gatm	00260
gatm	00330
gatm	01100
neo1a	04514
cbsb	00260
cbsb	00270
cbsb	01100
etf1b	03015
pwp2h	03008
cad	00240
cad	00250
cad	01100
kars1	00970
rdh8a	00830
rdh8a	01100
plk1	04110
plk1	04114
plk1	04914
ets1	04320
drd3	04080
drd2a	04080
drd2a	04540
aldh3b1	00010
aldh3b1	00340
aldh3b1	00350
aldh3b1	00360
aldh3b1	00980
aldh3b1	00982
aldh3b1	01100
sdc2	04512
sdc2	04514
fbp1b	00010
fbp1b	00030
fbp1b	00051
fbp1b	01100
fbp1b	04910
npc2.1	04142
hspd1	03018
msna	04810
mcm5	03030
mcm5	04110
b3gnt7	00533
phf5a	03040
atp6v1h	00190
atp6v1h	01100
atp6v1h	04142
atp6v1h	04145
dag1	04512
lamb1a	04510
lamb1a	04512
lamb4	04510
lamb4	04512
lamc1	04510
lamc1	04512
mc4r	04080
mc5ra	04080
mc5rb	04080
wdr43	03008
zcchc7	03018
chrnb3b	04080
ruvbl1	04310
glud1a	00250
glud1a	00330
glud1a	00471
glud1a	00910
glud1a	01100
elovl6	01040
pola1	00230
pola1	00240
pola1	01100
pola1	03030
gapdh	00010
gapdh	01100
dnmt3bb.1	00270
dnmt3bb.1	01100
impdh2	00230
impdh2	00983
impdh2	01100
suclg2	00020
suclg2	00640
suclg2	01100
rock2a	04270
rock2a	04310
rock2a	04350
rock2a	04510
rock2a	04810
ttk	04110
pabpc4	03013
pabpc4	03015
pabpc4	03018
ap2m1a	04144
wdr3	03008
rock2b	04270
rock2b	04310
rock2b	04350
rock2b	04510
rock2b	04810
dnmt3ba	00270
dnmt3ba	01100
gsna	04810
rap1b	04010
rap1b	04510
snu13b	03008
snu13b	03040
paics	00230
paics	01100
pigq	00563
pigq	01100
lama5	04510
lama5	04512
tacc3	03013
cpox	00860
cpox	01100
calr3b	04141
calr3b	04145
id2b	04350
arrb2a	04010
arrb2a	04144
arrb2a	04744
pfn2a	04810
ctsla	04142
ctsla	04145
cd63	04142
taf9	03022
cfl1	04810
prpf19	03040
prpf19	04120
smyhc1	04530
prpf40a	03040
eif2s1b	03013
eif2s1b	04141
psmc6	03050
gldc	00260
gldc	01100
hmgb1a	03410
aldob	00010
aldob	00030
aldob	00051
aldob	01100
ube2e3	04120
ube2e3	04141
smurf1	04120
smurf1	04144
smurf1	04350
nt5c3a	00230
nt5c3a	00240
nt5c3a	00760
nt5c3a	01100
atp6v0b	00190
atp6v0b	01100
atp6v0b	04142
atp6v0b	04145
ywhabl	04110
ywhabl	04114
nup88	03013
wdr36	03008
ak2	00230
ak2	01100
calm3b	04020
calm3b	04070
calm3b	04114
calm3b	04270
calm3b	04744
calm3b	04910
calm3b	04912
calm3b	04916
ctsa	04142
ctsa	04614
snw1	03040
snw1	04330
rbmx	03040
rchy1	04115
rchy1	04120
ckmt1	00330
ckmt1	01100
gnl3	03008
psmd12	03050
phgdh	00260
phgdh	01100
dhx15	03040
xrn2	03008
xrn2	03018
psmc3	03050
ddx46	03040
ndufa10	00190
ndufa10	01100
tafazzin	00564
hmmr	04512
cacng1a	04010
cacng1a	04260
cth	00260
cth	00270
cth	00450
cth	00910
cth	01100
pola2	00230
pola2	00240
pola2	01100
pola2	03030
ywhae1	04110
ywhae1	04114
ctps1a	00240
ctps1a	01100
gnb1a	04744
csnk1da	04340
csnk1da	04540
csnk1da	04710
vdac2	04020
pdia6	04141
ddx5	03040
actn4	04510
actn4	04520
actn4	04530
actn4	04810
bhmt	00260
bhmt	00270
bhmt	01100
adkb	00230
adkb	01100
eif1	03013
eif5	03013
psmd11b	03050
sem1	03050
sem1	03440
rad21a	04110
cs	00020
cs	00630
cs	01100
fah	00350
fah	01100
chia.6	00520
cel.1	00100
cel.1	00561
cel.1	01100
agt	04614
acta2	04270
uap1	00520
uap1	01100
anpepb.1	00480
anpepb.1	01100
anpepb.1	04614
dnajc3a	04141
uqcrc2b	00190
uqcrc2b	01100
uqcrc2b	04260
rpl3	03010
eif1axb	03013
chpt1	00564
chpt1	00565
chpt1	01100
st6galnac3	00604
st6galnac3	01100
arg2	00330
arg2	01100
hsd17b12b	00140
hsd17b12b	01040
hsd17b12b	01100
upb1	00240
upb1	00410
upb1	00770
upb1	00983
upb1	01100
aco2	00020
aco2	00630
aco2	01100
plg	04080
alox12	00590
alox12	00591
alox12	01100
nansa	00520
nansa	01100
atp6v0d1	00190
atp6v0d1	01100
atp6v0d1	04142
atp6v0d1	04145
lnpep	04614
anapc5	04110
anapc5	04114
anapc5	04120
anapc5	04914
dnajc5ga	04141
cald1a	04270
nup50	03013
exosc8	03018
ywhaba	04110
ywhaba	04114
tcerg1a	03040
nfkbiab	04210
nfkbiab	04620
nfkbiab	04621
nfkbiab	04622
nfkbiab	04623
nfkbiab	04920
stx5al	04130
pgam1a	00010
pgam1a	01100
gtf2h2	03022
gtf2h2	03420
cd99l2	04514
scinla	04810
rpl10a	03010
actn3b	04510
actn3b	04520
actn3b	04530
actn3b	04810
mat2aa	00270
mat2aa	01100
rpl14	03010
mphosph10	03008
lsg1	03008
gnaia	04530
gnaia	04540
gnaia	04914
gnaia	04916
col4a5	04510
col4a5	04512
cltca	04142
cltca	04144
hexb	00511
hexb	00520
hexb	00531
hexb	00603
hexb	00604
hexb	01100
hexb	04142
dvl2	04310
dvl2	04330
dvl2	04916
aldh3a2a	00010
aldh3a2a	00040
aldh3a2a	00053
aldh3a2a	00071
aldh3a2a	00280
aldh3a2a	00310
aldh3a2a	00330
aldh3a2a	00340
aldh3a2a	00380
aldh3a2a	00410
